Article num,Context
Article 20,"Charter Party Bill of Lading: A bill of lading, however named, containing an indication that it is subject to a charter party (charter party bill of lading), must appear to; be signed by: the master or a named agent for or on behalf of the master, or the owner or a named agent for or on behalf of the owner, or the charterer or a named agent for or on behalf of the charterer. Any signature by the master, owner, charterer or agent must be identified as that of the master, owner, charterer or agent. Any signature by an agent must indicate whether the agent has signed for or on behalf of the master, owner or charterer. An agent signing for or on behalf of the owner or charterer must indicate the name of the owner or charterer; indicate that the goods have been shipped on board a named vessel at the port of loading stated in the credit by: pre-printed wording, or an on board notation indicating the date on which the goods have been shipped on board. The date of issuance of the charter party bill of lading will be deemed to be the date of shipment unless the charter party bill of lading contains an on board notation indicating the date of shipment, in which case the date stated in the on board notation will be deemed to be the date of shipment; indicate shipment from the port of loading to the port of discharge stated in the credit. The port of discharge may also be shown as a range of ports or a geographical area, as stated in the credit; be the sole original charter party bill of lading or, if issued in more than one original, be the full set as indicated on the charter party bill of lading; A bank will not examine charter party contracts, even if they are required to be presented by the terms of the credit."
Article 23,"Air Transport Document: An air transport document, however named, must appear to; indicate the name of the carrier and be signed by: the carrier, or a named agent for or on behalf of the carrier. Any signature by the carrier or agent must be identified as that of the carrier or agent. Any signature by an agent must indicate that the agent has signed for or on behalf of the carrier; indicate that the goods have been accepted for carriage; indicate the date of issuance. This date will be deemed to be the date of shipment unless the air transport document contains a specific notation of the actual date of shipment, in which case the date stated in the notation will be deemed to be the date of shipment. Any other information appearing on the air transport document relative to the flight number and date will not be considered in determining the date of shipment; indicate the airport of departure and the airport of destination stated in the credit; be the original for consignor or shipper, even if the credit stipulates a full set of originals; contain terms and conditions of carriage or make reference to another source containing the terms and conditions of carriage. Contents of terms and conditions of carriage will not be examined; For the purpose of this article, transhipment means unloading from one aircraft and reloading to another aircraft during the carriage from the airport of departure to the airport of destination stated in the credit; An air transport document may indicate that the goods will or may be transhipped, provided that the entire carriage is covered by one and the same air transport document; An air transport document indicating that transhipment will or may take place is acceptable, even if the credit prohibits transhipment."
Article 24,"Road, Rail or Inland Waterway Transport Documents: A road, rail or inland waterway transport document, however named, must appear to; indicate the name of the carrier and: be signed by the carrier or a named agent for or on behalf of the carrier, or indicate receipt of the goods by signature, stamp or notation by the carrier or a named agent for or on behalf of the carrier. Any signature, stamp or notation of receipt of the goods by the carrier or agent must be identified as that of the carrier or agent. Any signature, stamp or notation of receipt of the goods by the agent must indicate that the agent has signed or acted for or on behalf of the carrier. If a rail transport document does not identify the carrier, any signature or stamp of the railway company will be accepted as evidence of the document being signed by the carrier; indicate the date of shipment or the date the goods have been received for shipment, dispatch or carriage at the place stated in the credit. Unless the transport document contains a dated reception stamp, an indication of the date of receipt or a date of shipment, the date of issuance of the transport document will be deemed to be the date of shipment; indicate the place of shipment and the place of destination stated in the credit; A road transport document must appear to be the original for consignor or shipper or bear no marking indicating for whom the document has been prepared; A rail transport document marked 'duplicate' will be accepted as an original; A rail or inland waterway transport document will be accepted as an original whether marked as an original or not; In the absence of an indication on the transport document as to the number of originals issued, the number presented will be deemed to constitute a full set; For the purpose of this article, transhipment means unloading from one means of conveyance and reloading to another means of conveyance, within the same mode of transport, during the carriage from the place of shipment, dispatch or carriage to the place of destination stated in the credit; A road, rail or inland waterway transport document may indicate that the goods will or may be transhipped provided that the entire carriage is covered by one and the same transport document; A road, rail or inland waterway transport document indicating that transhipment will or may take place is acceptable, even if the credit prohibits transhipment."
Article 25,"Courier Receipt, Post Receipt or Certificate of Posting: A courier receipt, however named, evidencing receipt of goods for transport, must appear to; indicate the name of the courier service and be stamped or signed by the named courier service at the place from which the credit states the goods are to be shipped; and indicate a date of pick-up or of receipt or wording to this effect. This date will be deemed to be the date of shipment; A requirement that courier charges are to be paid or prepaid may be satisfied by a transport document issued by a courier service evidencing that courier charges are for the account of a party other than the consignee; A post receipt or certificate of posting, however named, evidencing receipt of goods for transport, must appear to be stamped or signed and dated at the place from which the credit states the goods are to be shipped. This date will be deemed to be the date of shipment."
Article 26,"'On Deck', 'Shipper's Load and Count', 'Said by Shipper to Contain' and Charges Additional to Freight: A transport document must not indicate that the goods are or will be loaded on deck. A clause on a transport document stating that the goods may be loaded on deck is acceptable; A transport document bearing a clause such as 'shipper's load and count' and 'said by shipper to contain' is acceptable; A transport document may bear a reference, by stamp or otherwise, to charges additional to the freight."
Article 27,"Clean Transport Document: A bank will only accept a clean transport document. A clean transport document is one bearing no clause or notation expressly declaring a defective condition of the goods or their packaging. The word 'clean' need not appear on a transport document, even if a credit has a requirement for that transport document to be 'clean on board'."
Article 28,"Insurance Document and Coverage: An insurance document, such as an insurance policy, an insurance certificate or a declaration under an open cover, must appear to be issued and signed by an insurance company, an underwriter or their agents or their proxies. Any signature by an agent or proxy must indicate whether the agent or proxy has signed for or on behalf of the insurance company or underwriter; When the insurance document indicates that it has been issued in more than one original, all originals must be presented; Cover notes will not be accepted; An insurance policy is acceptable in lieu of an insurance certificate or a declaration under an open cover; The date of the insurance document must be no later than the date of shipment, unless it appears from the insurance document that the cover is effective from a date not later than the date of shipment; i.The insurance document must indicate the amount of insurance coverage and be in the same currency as the credit; A requirement in the credit for insurance coverage to be for a percentage of the value of the goods, of the invoice value or similar is deemed to be the minimum amount of coverage required. If there is no indication in the credit of the insurance coverage required, the amount of insurance coverage must be at least 110% of the CIF or CIP value of the goods. When the CIF or CIP value cannot be determined from the documents, the amount of insurance coverage must be calculated on the basis of the amount for which honour or negotiation is requested or the gross value of the goods as shown on the invoice, whichever is greater; The insurance document must indicate that risks are covered at least between the place of taking in charge or shipment and the place of discharge or final destination as stated in the credit; A credit should state the type of insurance required and, if any, the additional risks to be covered. An insurance document will be accepted without regard to any risks that are not covered if the credit uses imprecise terms such as 'usual risks' or 'customary risks'; When a credit requires insurance against 'all risks' and an insurance document is presented containing any 'all risks' notation or clause, whether or not bearing the heading 'all risks', the insurance document will be accepted without regard to any risks stated to be excluded; An insurance document may contain reference to any exclusion clause; An insurance document may indicate that the cover is subject to a franchise or excess (deductible)."
Article 29,"Expiry date: If the expiry date of a credit or the last day for presentation falls on a day when the bank to which presentation is to be made is closed for reasons other than those referred to in article 36, the expiry date or the last day for presentation, as the case may be, will be extended to the first following banking day; If presentation is made on the first following banking day, a nominated bank must provide the issuing bank or confirming bank with a statement on its covering schedule that the presentation was made within the time limits extended in accordance with sub-article 29 (a); The latest date for shipment will not be extended as a result of sub-article 29 (a)."
Article 3,"Interpretations: For the purpose of these rules: Where applicable, words in the singular include the plural and in the plural include the singular. A credit is irrevocable even if there is no indication to that effect. A document may be signed by handwriting, facsimile signature, perforated signature, stamp, symbol or any other mechanical or electronic method of authentication. A requirement for a document to be legalized, visaed, certified or similar will be satisfied by any signature, mark, stamp or label on the document which appears to satisfy that requirement. Branches of a bank in different countries are considered to be separate banks. Terms such as 'first class', 'well known', 'qualified', 'independent', 'official', 'competent' or 'local' used to describe the issuer of a document allow any issuer except the beneficiary to issue that document. Unless required to be used in a document, words such as 'prompt', 'immediately' or 'as soon as possible' will be disregarded. The expression 'on or about' or similar will be interpreted as a stipulation that an event is to occur during a period of five calendar days before until five calendar days after the specified date, both start and end dates included. The words 'to', 'until', 'till', 'from' and 'between' when used to determine a period of shipment include the date or dates mentioned, and the words 'before' and 'after' exclude the date mentioned. The words 'from' and 'after' when used to determine a maturity date exclude the date mentioned. The terms 'first half' and 'second half' of a month shall be construed respectively as the 1st to the 15th and the 16th to the last day of the month, all dates inclusive. The terms 'beginning', 'middle' and 'end' of a month shall be construed respectively as the 1st to the 10th, the 11th to the 20th and the 21st to the last day of the month, all dates inclusive."
Article 30,"Tolerance in Credit Amount, Quantity and Unit Prices: The words 'about' or 'approximately' used in connection with the amount of the credit or the quantity or the unit price stated in the credit are to be construed as allowing a tolerance not to exceed 10% more or 10% less than the amount, the quantity or the unit price to which they refer; A tolerance not to exceed 5% more or 5% less than the quantity of the goods is allowed, provided the credit does not state the quantity in terms of a stipulated number of packing units or individual items and the total amount of the drawings does not exceed the amount of the credit; Even when partial shipments are not allowed, a tolerance not to exceed 5% less than the amount of the credit is allowed, provided that the quantity of the goods, if stated in the credit, is shipped in full and a unit price, if stated in the credit, is not reduced or that sub-article 30 (b) is not applicable. This tolerance does not apply when the credit stipulates a specific tolerance or uses the expressions referred to in sub-article 30 (a)."
Article 31,"Partial Drawings or Shipments: Partial drawings or shipments are allowed; A presentation consisting of more than one set of transport documents evidencing shipment commencing on the same means of conveyance and for the same journey, provided they indicate the same destination, will not be regarded as covering a partial shipment, even if they indicate different dates of shipment or different ports of loading, places of taking in charge or dispatch. If the presentation consists of more than one set of transport documents, the latest date of shipment as evidenced on any of the sets of transport documents will be regarded as the date of shipment. A presentation consisting of one or more sets of transport documents evidencing shipment on more than one means of conveyance within the same mode of transport will be regarded as covering a partial shipment, even if the means of conveyance leave on the same day for the same destination; A presentation consisting of more than one courier receipt, post receipt or certificate of posting will not be regarded as a partial shipment if the courier receipts, post receipts or certificates of posting appear to have been stamped or signed by the same courier or postal service at the same place and date and for the same destination."
Article 32,"Instalment Drawings or Shipments: If a drawing or shipment by instalments within given periods is stipulated in the credit and any instalment is not drawn or shipped within the period allowed for that instalment, the credit ceases to be available for that and any subsequent instalment."
Article 33,Hours of Presentation: A bank has no obligation to accept a presentation outside of its banking hours.
Article 34,"Disclaimer on Effectiveness of Documents: A bank assumes no liability or responsibility for the form, sufficiency, accuracy, genuineness, falsification or legal effect of any document, or for the general or particular conditions stipulated in a document or superimposed thereon; nor does it assume any liability or responsibility for the description, quantity, weight, quality, condition, packing, delivery, value or existence of the goods, services or other performance represented by any document, or for the good faith or acts or omissions, solvency, performance or standing of the consignor, the carrier, the forwarder, the consignee or the insurer of the goods or any other person."
Article 35,"Disclaimer on Transmission and Translation: A bank assumes no liability or responsibility for the consequences arising out of delay, loss in transit, mutilation or other errors arising in the transmission of any messages or delivery of letters or documents, when such messages, letters or documents are transmitted or sent according to the requirements stated in the credit, or when the bank may have taken the initiative in the choice of the delivery service in the absence of such instructions in the credit. If a nominated bank determines that a presentation is complying and forwards the documents to the issuing bank or confirming bank, whether or not the nominated bank has honoured or negotiated, an issuing bank or confirming bank must honour or negotiate, or reimburse that nominated bank, even when the documents have been lost in transit between the nominated bank and the issuing bank or confirming bank, or between the confirming bank and the issuing bank. A bank assumes no liability or responsibility for errors in translation or interpretation of technical terms and may transmit credit terms without translating them."
Article 36,"Force Majeure: A bank assumes no liability or responsibility for the consequences arising out of the interruption of its business by Acts of God, riots, civil commotions, insurrections, wars, acts of terrorism, or by any strikes or lockouts or any other causes beyond its control. A bank will not, upon resumption of its business, honour or negotiate under a credit that expired during such interruption of its business."
Article 37,"Disclaimer for Acts of an Instructed Party: A bank utilizing the services of another bank for the purpose of giving effect to the instructions of the applicant does so for the account and at the risk of the applicant; An issuing bank or advising bank assumes no liability or responsibility should the instructions it transmits to another bank not be carried out, even if it has taken the initiative in the choice of that other bank; A bank instructing another bank to perform services is liable for any commissions, fees, costs or expenses ('charges') incurred by that bank in connection with its instructions. If a credit states that charges are for the account of the beneficiary and charges cannot be collected or deducted from proceeds, the issuing bank remains liable for payment of charges. A credit or amendment should not stipulate that the advising to a beneficiary is conditional upon the receipt by the advising bank or second advising bank of its charges; The applicant shall be bound by and liable to indemnify a bank against all obligations and responsibilities imposed by foreign laws and usages."
Article 39,"Assignment of Proceeds: The fact that a credit is not stated to be transferable shall not affect the right of the beneficiary to assign any proceeds to which it may be or may become entitled under the credit, in accordance with the provisions of applicable law. This article relates only to the assignment of proceeds and not to the assignment of the right to perform under the credit."
Article 4,"Credits v. Contracts: A credit by its nature is a separate transaction from the sale or other contract on which it may be based. Banks are in no way concerned with or bound by such contract, even if any reference whatsoever to it is included in the credit. Consequently, the undertaking of a bank to honour, to negotiate or to fulfil any other obligation under the credit is not subject to claims or defences by the applicant resulting from its relationships with the issuing bank or the beneficiary. A beneficiary can in no case avail itself of the contractual relationships existing between banks or between the applicant and the issuing bank; An issuing bank should discourage any attempt by the applicant to include, as an integral part of the credit, copies of the underlying contract, proforma invoice and the like."
Article 5,"Documents v. Goods, Services or Performance: Banks deal with documents and not with goods, services or performance to which the documents may relate."
Article 6,"Availability, Expiry Date and Place for Presentation: A credit must state the bank with which it is available or whether it is available with any bank. A credit available with a nominated bank is also available with the issuing bank; A credit must state whether it is available by sight payment, deferred payment, acceptance or negotiation; A credit must not be issued available by a draft drawn on the applicant; A credit must state an expiry date for presentation. An expiry date stated for honour or negotiation will be deemed to be an expiry date for presentation; The place of the bank with which the credit is available is the place for presentation. The place for presentation under a credit available with any bank is that of any bank. A place for presentation other than that of the issuing bank is in addition to the place of the issuing bank; Except as provided in sub-article 29 (a), a presentation by or on behalf of the beneficiary must be made on or before the expiry date."
Article 7,"Issuing Bank Undertaking: Provided that the stipulated documents are presented to the nominated bank or to the issuing bank and that they constitute a complying presentation, the issuing bank must honour if the credit is available by; sight payment, deferred payment or acceptance with the issuing bank; sight payment with a nominated bank and that nominated bank does not pay; deferred payment with a nominated bank and that nominated bank does not incur its deferred payment undertaking or, having incurred its deferred payment undertaking, does not pay at maturity; acceptance with a nominated bank and that nominated bank does not accept a draft drawn on it or, having accepted a draft drawn on it, does not pay at maturity; negotiation with a nominated bank and that nominated bank does not negotiate; An issuing bank is irrevocably bound to honour as of the time it issues the credit; An issuing bank undertakes to reimburse a nominated bank that has honoured or negotiated a complying presentation and forwarded the documents to the issuing bank. Reimbursement for the amount of a complying presentation under a credit available by acceptance or deferred payment is due at maturity, whether or not the nominated bank prepaid or purchased before maturity. An issuing bank's undertaking to reimburse a nominated bank is independent of the issuing bank's undertaking to the beneficiary."
Article 8,"Confirming Bank Undertaking: Provided that the stipulated documents are presented to the confirming bank or to any other nominated bank and that they constitute a complying presentation, the confirming bank must; honour, if the credit is available by: sight payment, deferred payment or acceptance with the confirming bank; sight payment with another nominated bank and that nominated bank does not pay; deferred payment with another nominated bank and that nominated bank does not incur its deferred payment undertaking or, having incurred its deferred payment undertaking, does not pay at maturity; acceptance with another nominated bank and that nominated bank does not accept a draft drawn on it or, having accepted a draft drawn on it, does not pay at maturity; negotiation with another nominated bank and that nominated bank does not negotiate; negotiate, without recourse, if the credit is available by negotiation with the confirming bank; A confirming bank is irrevocably bound to honour or negotiate as of the time it adds its confirmation to the credit; A confirming bank undertakes to reimburse another nominated bank that has honoured or negotiated a complying presentation and forwarded the documents to the confirming bank. Reimbursement for the amount of a complying presentation under a credit available by acceptance or deferred payment is due at maturity, whether or not another nominated bank prepaid or purchased before maturity. A confirming bank's undertaking to reimburse another nominated bank is independent of the confirming bank's undertaking to the beneficiary; If a bank is authorized or requested by the issuing bank to confirm a credit but is not prepared to do so, it must inform the issuing bank without delay and may advise the credit without confirmation."
Article 9,"Advising of Credits and Amendments: A credit and any amendment may be advised to a beneficiary through an advising bank. An advising bank that is not a confirming bank advises the credit and any amendment without any undertaking to honour or negotiate; By advising the credit or amendment, the advising bank signifies that it has satisfied itself as to the apparent authenticity of the credit or amendment and that the advice accurately reflects the terms and conditions of the credit or amendment received; An advising bank may utilize the services of another bank ('second advising bank') to advise the credit and any amendment to the beneficiary. By advising the credit or amendment, the second advising bank signifies that it has satisfied itself as to the apparent authenticity of the advice it has received and that the advice accurately reflects the terms and conditions of the credit or amendment received; A bank utilizing the services of an advising bank or second advising bank to advise a credit must use the same bank to advise any amendment thereto; If a bank is requested to advise a credit or amendment but elects not to do so, it must so inform, without delay, the bank from which the credit, amendment or advice has been received; If a bank is requested to advise a credit or amendment but cannot satisfy itself as to the apparent authenticity of the credit, the amendment or the advice, it must so inform, without delay, the bank from which the instructions appear to have been received. If the advising bank or second advising bank elects nonetheless to advise the credit or amendment, it must inform the beneficiary or second advising bank that it has not been able to satisfy itself as to the apparent authenticity of the credit, the amendment or the advice."
